probs=[0.272, 0.09, 0.638] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.944, 0.015, 0.041] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.938, 0.017, 0.045] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.971, 0.017, 0.012] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.38, 0.363, 0.257] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.208, 0.438, 0.354] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.153, 0.505, 0.342] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.119, 0.429, 0.452] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.118, 0.275, 0.607] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.541, 0.136, 0.323] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.968, 0.015, 0.017] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.786, 0.033, 0.181] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.486, 0.051, 0.463] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.822, 0.057, 0.122] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=0 smoothed=0 probs=[0.508, 0.215, 0.278] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.128, 0.225, 0.647] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.099, 0.138, 0.763] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.241, 0.247, 0.511] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.268, 0.244, 0.489] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.38, 0.51, 0.11] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.124, 0.063, 0.813] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.033, 0.175, 0.793] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.019, 0.159, 0.822] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.019, 0.194, 0.787] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.162, 0.461, 0.378] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.079, 0.459, 0.462] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.088, 0.436, 0.476] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.079, 0.289, 0.632] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.029, 0.503, 0.468] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.085, 0.204, 0.711] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.098, 0.374, 0.528] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.134, 0.372, 0.494] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.117, 0.339, 0.544] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.062, 0.446, 0.492] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=1 smoothed=1 probs=[0.06, 0.512, 0.428] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
[pred] raw=2 smoothed=2 probs=[0.062, 0.356, 0.582] | fs=250.0Hz win=250 hop=62 | Fp1=ch3 Fp2=ch6
